symptoms_text,specialty
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
أذني بتوجعني من جوه بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
أذني بتوجعني من جوه بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع جدًا,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
أذني بتوجعني من جوه بقالها فترة طويلة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري جدًا,أنف وأذن وحنجرة
أذني بتوجعني من جوه بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
أذني بتوجعني من جوه جدًا,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع ومش عارف أعمل إيه,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
أذني بتوجعني من جوه,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع جدًا,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بقالها فترة طويلة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
صوتي رايح وعندي بحة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع جدًا,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
صوتي رايح وعندي بحة ومش عارف أعمل إيه,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري ومش عارف أعمل إيه,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع,أنف وأذن وحنجرة
أذني بتوجعني من جوه ومش عارف أعمل إيه,أنف وأذن وحنجرة
أذني بتوجعني من جوه بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
عندي انسداد في مناخيري بترجع تاني بعد ما تخف,أنف وأذن وحنجرة
زوري ملتهب ومش قادر أبلع جدًا,أنف وأذن وحنجرة
بسمع طنين في ودني وبحس بدوخة بقالها فترة طويلة,أنف وأذن وحنجرة
عندي انسداد في مناخيري,أنف وأذن وحنجرة
حسيت بكتلة في رقبتي بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
في ورم صغير بيكبر بسرعة,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
في ورم صغير بيكبر بسرعة ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
تكتل تحت الإبط وجعني,أورام
حسيت بكتلة في رقبتي,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
في ورم صغير بيكبر بسرعة ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
حسيت بكتلة في رقبتي بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك بقالها فترة طويلة,أورام
حسيت بكتلة في رقبتي جدًا,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي جدًا,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
في ورم صغير بيكبر بسرعة,أورام
حسيت بكتلة في رقبتي,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
حسيت بكتلة في رقبتي,أورام
تكتل تحت الإبط وجعني,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
حسيت بكتلة في رقبتي جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك,أورام
كتلة في صدري مش بتتحرك بقالها فترة طويلة,أورام
في ورم صغير بيكبر بسرعة,أورام
في ورم صغير بيكبر بسرعة,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
حسيت بكتلة في رقبتي جدًا,أورام
حسيت بكتلة في رقبتي,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
تكتل تحت الإبط وجعني جدًا,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
تكتل تحت الإبط وجعني بترجع تاني بعد ما تخف,أورام
تكتل تحت الإبط وجعني جدًا,أورام
كتلة في صدري مش بتتحرك,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني,أورام
تكتل تحت الإبط وجعني,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
في ورم صغير بيكبر بسرعة,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
تكتل تحت الإبط وجعني جدًا,أورام
حسيت بكتلة في رقبتي بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
حسيت بكتلة في رقبتي جدًا,أورام
حسيت بكتلة في رقبتي بقالها فترة طويلة,أورام
في ورم صغير بيكبر بسرعة بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي جدًا,أورام
تكتل تحت الإبط وجعني,أورام
تكتل تحت الإبط وجعني بقالها فترة طويلة,أورام
في ورم صغير بيكبر بسرعة,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي جدًا,أورام
حسيت بكتلة في رقبتي,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
حسيت بكتلة في رقبتي ومش عارف أعمل إيه,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
في ورم صغير بيكبر بسرعة جدًا,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
كتلة في صدري مش بتتحرك بقالها فترة طويلة,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بقالها فترة طويلة,أورام
حسيت بكتلة في رقبتي,أورام
تكتل تحت الإبط وجعني جدًا,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
كتلة في صدري مش بتتحرك جدًا,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
كتلة في صدري مش بتتحرك بترجع تاني بعد ما تخف,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح,أورام
في كلكوعة ظهرت تحت جلدي ومش بتروح جدًا,أورام
حسيت بكتلة في رقبتي جدًا,أورام
في ورم صغير بيكبر بسرعة,أورام
حسيت بكتلة في رقبتي بترجع تاني بعد ما تخف,أورام
في ورم صغير بيكبر بسرعة,أورام
كتلة في صدري مش بتتحرك ومش عارف أعمل إيه,أورام
حسيت بكتلة في رقبتي جدًا,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
تكتل تحت الإبط وجعني ومش عارف أعمل إيه,أورام
في ورم صغير بيكبر بسرعة بقالها فترة طويلة,أورام
جلدي ناشف ومتشقق مهما استخدمت كريم بقالها فترة طويلة,جلديه
بقع سودة ظهرت بعد الحبوب بترجع تاني بعد ما تخف,جلديه
جلدي بيحكني وبطلع حبوب جدًا,جلديه
بقع سودة ظهرت بعد الحبوب جدًا,جلديه
وشي كله حبوب ومش نافع معاه علاج,جلديه
بقع سودة ظهرت بعد الحبوب,جلديه
جلدي بيحكني وبطلع حبوب ومش عارف أعمل إيه,جلديه
بقع سودة ظهرت بعد الحبوب,جلديه
عندي قشرة في فروة راسي,جلديه
عندي قشرة في فروة راسي,جلديه
بقع سودة ظهرت بعد الحبوب,جلديه
بقع سودة ظهرت بعد الحبوب بقالها فترة طويلة,جلديه
بقع سودة ظهرت بعد الحبوب ومش عارف أعمل إيه,جلديه
بقع سودة ظهرت بعد الحبوب ومش عارف أعمل إيه,جلديه
عندي قشرة في فروة راسي جدًا,جلديه
عندي قشرة في فروة راسي بترجع تاني بعد ما تخف,جلديه
بقع سودة ظهرت بعد الحبوب جدًا,جلديه
عندي قشرة في فروة راسي جدًا,جلديه
عندي قشرة في فروة راسي ومش عارف أعمل إيه,جلديه
جلدي ناشف ومتشقق مهما استخدمت كريم بقالها فترة طويلة,جلديه
وشي كله حبوب ومش نافع معاه علاج,جلديه
جلدي ناشف ومتشقق مهما استخدمت كريم جدًا,جلديه
جلدي بيحكني وبطلع حبوب,جلديه
عندي قشرة في فروة راسي ومش عارف أعمل إيه,جلديه
وشي كله حبوب ومش نافع معاه علاج,جلديه
بقع سودة ظهرت بعد الحبوب,جلديه
بقع سودة ظهرت بعد الحبوب بترجع تاني بعد ما تخف,جلديه
بقع سودة ظهرت بعد الحبوب ومش عارف أعمل إيه,جلديه
عندي قشرة في فروة راسي بترجع تاني بعد ما تخف,جلديه
وشي كله حبوب ومش نافع معاه علاج بقالها فترة طويلة,جلديه
جلدي ناشف ومتشقق مهما استخدمت كريم ومش عارف أعمل إيه,جلديه
جلدي بيحكني وبطلع حبوب جدًا,جلديه
وشي كله حبوب ومش نافع معاه علاج ومش عارف أعمل إيه,جلديه
عندي قشرة في فروة راسي ومش عارف أعمل إيه,جلديه
بقع سودة ظهرت بعد الحبوب,جلديه
جلدي بيحكني وبطلع حبوب جدًا,جلديه
وشي كله حبوب ومش نافع معاه علاج بترجع تاني بعد ما تخف,جلديه
بقع سودة ظهرت بعد الحبوب بقالها فترة طويلة,جلديه
جلدي بيحكني وبطلع حبوب ومش عارف أعمل إيه,جلديه
بقع سودة ظهرت بعد الحبوب ومش عارف أعمل إيه,جلديه
بقع سودة ظهرت بعد الحبوب بقالها فترة طويلة,جلديه
بقع سودة ظهرت بعد الحبوب بترجع تاني بعد ما تخف,جلديه
